Date	Time	Global_Active_Power
17/12/2006	00:00:00	1.044
17/12/2006	00:01:00	1.520
17/12/2006	00:02:00	3.038
17/12/2006	00:03:00	2.974
17/12/2006	00:04:00	2.846
17/12/2006	00:05:00	2.848
17/12/2006	00:06:00	2.858
17/12/2006	00:07:00	2.472
17/12/2006	00:08:00	0.658
17/12/2006	00:09:00	0.838
17/12/2006	00:10:00	2.608
17/12/2006	00:11:00	2.598
17/12/2006	00:12:00	2.560
17/12/2006	00:13:00	2.526
17/12/2006	00:14:00	2.472
17/12/2006	00:15:00	1.658
17/12/2006	00:16:00	0.422
17/12/2006	00:17:00	0.790
17/12/2006	00:18:00	2.436
17/12/2006	00:19:00	2.396
17/12/2006	00:20:00	2.338
17/12/2006	00:21:00	2.304
17/12/2006	00:22:00	0.276
17/12/2006	00:23:00	0.712
17/12/2006	00:24:00	2.332
17/12/2006	00:25:00	2.344
17/12/2006	00:26:00	2.354
17/12/2006	00:27:00	2.332
17/12/2006	00:28:00	2.368
17/12/2006	00:29:00	0.612
17/12/2006	00:30:00	0.286
17/12/2006	00:31:00	1.952
17/12/2006	00:32:00	2.376
17/12/2006	00:33:00	2.374
17/12/2006	00:34:00	2.406
17/12/2006	00:35:00	1.004
17/12/2006	00:36:00	0.388
17/12/2006	00:37:00	1.458
17/12/2006	00:38:00	2.480
17/12/2006	00:39:00	2.454
17/12/2006	00:40:00	2.468
17/12/2006	00:41:00	2.028
17/12/2006	00:42:00	0.382
17/12/2006	00:43:00	0.902
17/12/2006	00:44:00	2.466
17/12/2006	00:45:00	2.456
17/12/2006	00:46:00	2.450
17/12/2006	00:47:00	2.448
17/12/2006	00:48:00	0.930
17/12/2006	00:49:00	0.286
17/12/2006	00:50:00	1.376
17/12/2006	00:51:00	2.456
17/12/2006	00:52:00	2.456
17/12/2006	00:53:00	2.444
17/12/2006	00:54:00	2.122
17/12/2006	00:55:00	0.356
17/12/2006	00:56:00	0.952
17/12/2006	00:57:00	2.426
17/12/2006	00:58:00	2.420
17/12/2006	00:59:00	2.412
17/12/2006	01:00:00	1.008
17/12/2006	01:01:00	0.430
17/12/2006	01:02:00	2.676
17/12/2006	01:03:00	3.766
17/12/2006	01:04:00	4.582
17/12/2006	01:05:00	5.282
17/12/2006	01:06:00	2.362
17/12/2006	01:07:00	3.250
17/12/2006	01:08:00	4.618
17/12/2006	01:09:00	5.242
17/12/2006	01:10:00	4.860
17/12/2006	01:11:00	3.738
17/12/2006	01:12:00	3.426
17/12/2006	01:13:00	5.254
17/12/2006	01:14:00	5.246
17/12/2006	01:15:00	5.216
17/12/2006	01:16:00	3.858
17/12/2006	01:17:00	2.822
17/12/2006	01:18:00	3.840
17/12/2006	01:19:00	4.636
17/12/2006	01:20:00	4.634
17/12/2006	01:21:00	4.652
17/12/2006	01:22:00	3.130
17/12/2006	01:23:00	1.756
17/12/2006	01:24:00	3.478
17/12/2006	01:25:00	4.500
17/12/2006	01:26:00	3.552
17/12/2006	01:27:00	3.940
17/12/2006	01:28:00	2.440
17/12/2006	01:29:00	2.080
17/12/2006	01:30:00	3.652
17/12/2006	01:31:00	4.432
17/12/2006	01:32:00	4.460
17/12/2006	01:33:00	2.186
17/12/2006	01:34:00	2.358
17/12/2006	01:35:00	3.954
17/12/2006	01:36:00	3.746
17/12/2006	01:37:00	3.944
17/12/2006	01:38:00	3.680
17/12/2006	01:39:00	1.670
17/12/2006	01:40:00	3.214
17/12/2006	01:41:00	4.500
17/12/2006	01:42:00	3.800
17/12/2006	01:43:00	2.664
17/12/2006	01:44:00	2.528
17/12/2006	01:45:00	2.668
17/12/2006	01:46:00	4.256
17/12/2006	01:47:00	4.126
17/12/2006	01:48:00	3.216
17/12/2006	01:49:00	0.574
17/12/2006	01:50:00	2.344
17/12/2006	01:51:00	3.804
17/12/2006	01:52:00	4.622
17/12/2006	01:53:00	3.218
17/12/2006	01:54:00	0.774
17/12/2006	01:55:00	0.572
17/12/2006	01:56:00	1.952
17/12/2006	01:57:00	2.608
17/12/2006	01:58:00	2.600
17/12/2006	01:59:00	2.568
17/12/2006	02:00:00	1.334
17/12/2006	02:01:00	0.362
17/12/2006	02:02:00	1.238
17/12/2006	02:03:00	2.448
17/12/2006	02:04:00	2.426
17/12/2006	02:05:00	1.794
17/12/2006	02:06:00	0.288
17/12/2006	02:07:00	0.608
17/12/2006	02:08:00	2.426
17/12/2006	02:09:00	2.442
17/12/2006	02:10:00	2.428
17/12/2006	02:11:00	0.674
17/12/2006	02:12:00	0.306
17/12/2006	02:13:00	2.090
17/12/2006	02:14:00	2.508
17/12/2006	02:15:00	2.228
17/12/2006	02:16:00	0.308
17/12/2006	02:17:00	0.290
17/12/2006	02:18:00	2.442
17/12/2006	02:19:00	2.514
17/12/2006	02:20:00	2.506
17/12/2006	02:21:00	0.388
17/12/2006	02:22:00	0.538
17/12/2006	02:23:00	2.496
17/12/2006	02:24:00	2.470
17/12/2006	02:25:00	2.448
17/12/2006	02:26:00	0.820
17/12/2006	02:27:00	0.308
17/12/2006	02:28:00	2.450
17/12/2006	02:29:00	2.432
17/12/2006	02:30:00	2.444
17/12/2006	02:31:00	1.970
17/12/2006	02:32:00	0.256
17/12/2006	02:33:00	0.508
17/12/2006	02:34:00	2.370
17/12/2006	02:35:00	2.352
17/12/2006	02:36:00	2.140
17/12/2006	02:37:00	0.212
17/12/2006	02:38:00	0.992
17/12/2006	02:39:00	2.362
17/12/2006	02:40:00	2.384
17/12/2006	02:41:00	1.928
17/12/2006	02:42:00	0.218
17/12/2006	02:43:00	0.656
17/12/2006	02:44:00	2.398
17/12/2006	02:45:00	2.412
17/12/2006	02:46:00	1.672
17/12/2006	02:47:00	0.226
17/12/2006	02:48:00	1.632
17/12/2006	02:49:00	2.352
17/12/2006	02:50:00	2.328
17/12/2006	02:51:00	0.732
17/12/2006	02:52:00	0.206
17/12/2006	02:53:00	2.332
17/12/2006	02:54:00	2.390
17/12/2006	02:55:00	2.476
17/12/2006	02:56:00	0.604
17/12/2006	02:57:00	0.380
17/12/2006	02:58:00	1.774
17/12/2006	02:59:00	2.520
17/12/2006	03:00:00	2.542
17/12/2006	03:01:00	2.228
17/12/2006	03:02:00	0.590
17/12/2006	03:03:00	1.354
17/12/2006	03:04:00	2.734
17/12/2006	03:05:00	2.734
17/12/2006	03:06:00	2.002
17/12/2006	03:07:00	0.472
17/12/2006	03:08:00	0.876
17/12/2006	03:09:00	2.324
17/12/2006	03:10:00	2.342
17/12/2006	03:11:00	2.326
17/12/2006	03:12:00	0.302
17/12/2006	03:13:00	0.208
17/12/2006	03:14:00	2.022
17/12/2006	03:15:00	2.356
17/12/2006	03:16:00	2.346
17/12/2006	03:17:00	2.240
17/12/2006	03:18:00	0.224
17/12/2006	03:19:00	0.424
17/12/2006	03:20:00	2.344
17/12/2006	03:21:00	2.308
17/12/2006	03:22:00	2.338
17/12/2006	03:23:00	1.480
17/12/2006	03:24:00	0.222
17/12/2006	03:25:00	0.820
17/12/2006	03:26:00	2.352
17/12/2006	03:27:00	2.312
17/12/2006	03:28:00	2.324
17/12/2006	03:29:00	0.232
17/12/2006	03:30:00	0.342
17/12/2006	03:31:00	1.940
17/12/2006	03:32:00	2.456
17/12/2006	03:33:00	2.448
17/12/2006	03:34:00	1.838
17/12/2006	03:35:00	0.320
17/12/2006	03:36:00	1.154
17/12/2006	03:37:00	2.442
17/12/2006	03:38:00	2.410
17/12/2006	03:39:00	2.282
17/12/2006	03:40:00	0.320
17/12/2006	03:41:00	0.812
17/12/2006	03:42:00	2.446
17/12/2006	03:43:00	2.426
17/12/2006	03:44:00	2.410
17/12/2006	03:45:00	0.436
17/12/2006	03:46:00	0.492
17/12/2006	03:47:00	2.424
17/12/2006	03:48:00	2.392
17/12/2006	03:49:00	2.382
17/12/2006	03:50:00	0.754
17/12/2006	03:51:00	0.412
17/12/2006	03:52:00	2.354
17/12/2006	03:53:00	2.412
17/12/2006	03:54:00	2.426
17/12/2006	03:55:00	1.384
17/12/2006	03:56:00	0.292
17/12/2006	03:57:00	1.330
