Id Sensore,Data-Ora, Medio	temp	Id Sensore,Data-Ora, Medio	irr
5901,2018/04/01 00:00,5.5	5.5	6453,2018/04/01 00:00,0.0	0.0
5901,2018/04/01 00:10,5.4	5.4	6453,2018/04/01 00:10,0.0	0.0
5901,2018/04/01 00:20,5.3	5.3	6453,2018/04/01 00:20,0.0	0.0
5901,2018/04/01 00:30,5.2	5.2	6453,2018/04/01 00:30,0.0	0.0
5901,2018/04/01 00:40,5.1	5.1	6453,2018/04/01 00:40,0.0	0.0
5901,2018/04/01 00:50,5.0	5.0	6453,2018/04/01 00:50,0.0	0.0
5901,2018/04/01 01:00,5.0	5.0	6453,2018/04/01 01:00,0.0	0.0
5901,2018/04/01 01:10,4.9	4.9	6453,2018/04/01 01:10,0.0	0.0
5901,2018/04/01 01:20,4.9	4.9	6453,2018/04/01 01:20,0.0	0.0
5901,2018/04/01 01:30,4.9	4.9	6453,2018/04/01 01:30,0.0	0.0
5901,2018/04/01 01:40,4.8	4.8	6453,2018/04/01 01:40,0.0	0.0
5901,2018/04/01 01:50,4.8	4.8	6453,2018/04/01 01:50,0.0	0.0
5901,2018/04/01 02:00,4.8	4.8	6453,2018/04/01 02:00,0.0	0.0
5901,2018/04/01 02:10,4.6	4.6	6453,2018/04/01 02:10,0.0	0.0
5901,2018/04/01 02:20,4.5	4.5	6453,2018/04/01 02:20,0.0	0.0
5901,2018/04/01 02:30,4.4	4.4	6453,2018/04/01 02:30,0.0	0.0
5901,2018/04/01 02:40,4.3	4.3	6453,2018/04/01 02:40,0.0	0.0
5901,2018/04/01 02:50,4.1	4.1	6453,2018/04/01 02:50,0.0	0.0
5901,2018/04/01 03:00,3.9	3.9	6453,2018/04/01 03:00,0.0	0.0
5901,2018/04/01 03:10,4.7	4.7	6453,2018/04/01 03:10,0.0	0.0
5901,2018/04/01 03:20,5.1	5.1	6453,2018/04/01 03:20,0.0	0.0
5901,2018/04/01 03:30,5.3	5.3	6453,2018/04/01 03:30,0.0	0.0
5901,2018/04/01 03:40,5.8	5.8	6453,2018/04/01 03:40,0.0	0.0
5901,2018/04/01 03:50,6.3	6.3	6453,2018/04/01 03:50,0.0	0.0
5901,2018/04/01 04:00,7.1	7.1	6453,2018/04/01 04:00,0.0	0.0
5901,2018/04/01 04:10,6.9	6.9	6453,2018/04/01 04:10,0.0	0.0
5901,2018/04/01 04:20,6.9	6.9	6453,2018/04/01 04:20,0.0	0.0
5901,2018/04/01 04:30,7.0	7.0	6453,2018/04/01 04:30,0.0	0.0
